missed packet number, sample offset, latency (ms), sample
-35701, 3898, 3.898, 1111 1110 0111 1110
-41667, 0, 0.0, 0111 1110 0111 1110
-41667, 1, 0.001, 0000 0001 0000 0001
-41667, 21, 0.021, 0000 0001 1000 0001
-41667, 79, 0.079, 0111 1110 1111 1110
-41667, 300, 0.3, 0111 1110 0111 1110
-41667, 601, 0.601, 0111 1110 1111 1110
-41667, 1280, 1.28, 0111 1110 0111 1110
-41667, 1557, 1.557, 0111 1110 1111 1110
-41667, 2235, 2.235, 0111 1110 0111 1110
-41667, 2464, 2.464, 0111 1110 1111 1110
-41667, 3234, 3.234, 0111 1110 0111 1110
-41667, 3427, 3.427, 0111 1110 1111 1110
-41667, 3994, 3.994, 0111 1110 0111 1110
-41667, 4097, 4.097, 0000 0001 0000 0001
-41667, 4117, 4.117, 0000 0001 1000 0001
-41667, 4175, 4.175, 0111 1110 1111 1110
-44747, 0, 0.0, 0111 1110 0111 1110
-44747, 1, 0.001, 0000 0001 0000 0001
-44747, 33, 0.033, 0000 0001 1000 0001
-44747, 83, 0.083, 0111 1110 1111 1110
-44747, 410, 0.41, 0111 1110 0111 1110
-44747, 713, 0.713, 0111 1110 1111 1110
-44747, 1344, 1.344, 0111 1110 0111 1110
-44747, 1695, 1.695, 0111 1110 1111 1110
-44747, 2427, 2.427, 0111 1110 0111 1110
-44747, 2653, 2.653, 0111 1110 1111 1110
-44747, 3483, 3.483, 0111 1110 0111 1110
-44747, 3663, 3.663, 0111 1110 1111 1110
-44748, 0, 0.0, 0111 1110 1111 1110
-44748, 1, 0.001, 0000 0001 1000 0001
-44748, 21, 0.021, 0000 0001 0000 0001
-44748, 341, 0.341, 0111 1110 0111 1110
-44748, 718, 0.718, 0111 1110 1111 1110
-44748, 1066, 1.066, 0111 1110 0111 1110
-44748, 1703, 1.703, 0111 1110 1111 1110
-44748, 1939, 1.939, 0111 1110 0111 1110
-44748, 2692, 2.692, 0111 1110 1111 1110
-44748, 2882, 2.882, 0111 1110 0111 1110
-44748, 3424, 3.424, 0111 1110 1111 1110
-44748, 3780, 3.78, 0111 1110 0111 1110
-44748, 4407, 4.407, 0000 0001 0000 0001
-44748, 4437, 4.437, 0111 1110 0111 1110
-44748, 963292, 963.292, 0000 0000 0000 0000
-44748, 967388, 967.388, 0111 1110 0111 1110
-44748, 971187, 971.187, 0000 0000 0000 0000
-44748, 975283, 975.283, 0111 1110 0111 1110
-44748, 977324, 977.324, 0000 0000 0000 0000
-44748, 981420, 981.42, 0111 1110 0111 1110
-44748, 983563, 983.563, 0000 0000 0000 0000
-44748, 987659, 987.659, 0111 1110 0111 1110
-46678, 0, 0.0, 1111 1110 1111 1110
-46678, 1, 0.001, 1000 0001 1000 0001
-46678, 20, 0.02, 1000 0001 0000 0001
-46678, 62, 0.062, 1111 1110 0111 1110
-46678, 273, 0.273, 1111 1110 1111 1110
-46678, 570, 0.57, 1111 1110 0111 1110
-46678, 1122, 1.122, 1111 1110 1111 1110
-46678, 1398, 1.398, 1111 1110 0111 1110
-46678, 1993, 1.993, 1111 1110 1111 1110
-46678, 2224, 2.224, 1111 1110 0111 1110
-46678, 2944, 2.944, 1111 1110 1111 1110
-46678, 3158, 3.158, 1111 1110 0111 1110
-46678, 3788, 3.788, 1111 1110 1111 1110
-46678, 4028, 4.028, 1111 1110 0111 1110
-50725, 0, 0.0, 0111 1110 1111 1110
-50725, 1, 0.001, 0000 0001 1000 0001
-50725, 21, 0.021, 0000 0001 0000 0001
-50725, 67, 0.067, 0111 1110 0111 1110
-50725, 277, 0.277, 0111 1110 1111 1110
-50725, 581, 0.581, 0111 1110 0111 1110
-50725, 1154, 1.154, 0111 1110 1111 1110
-50725, 1425, 1.425, 0111 1110 0111 1110
-50725, 2013, 2.013, 0111 1110 1111 1110
-50725, 2240, 2.24, 0111 1110 0111 1110
-50725, 2880, 2.88, 0111 1110 1111 1110
-50725, 3053, 3.053, 0111 1110 0111 1110
-50725, 3785, 3.785, 0111 1110 1111 1110
-50725, 3913, 3.913, 0111 1110 0111 1110
-61439, 0, 0.0, 1111 1110 1111 1110
-61439, 1, 0.001, 1000 0001 1000 0001
-61439, 21, 0.021, 1000 0001 0000 0001
-61439, 126, 0.126, 1111 1110 0111 1110
-61439, 423, 0.423, 1111 1110 1111 1110
-61439, 718, 0.718, 1111 1110 0111 1110
-61439, 1314, 1.314, 1111 1110 1111 1110
-61439, 1580, 1.58, 1111 1110 0111 1110
-61439, 2245, 2.245, 1111 1110 1111 1110
-61439, 2447, 2.447, 1111 1110 0111 1110
-61439, 3138, 3.138, 1111 1110 1111 1110
-61439, 3284, 3.284, 1111 1110 0111 1110
-61439, 3787, 3.787, 1111 1110 1111 1110
-61439, 4097, 4.097, 1000 0001 1000 0001
-61439, 4117, 4.117, 1000 0001 0000 0001
-61439, 4138, 4.138, 1111 1110 0111 1110
-63885, 0, 0.0, 0000 0001 0000 0001
-63885, 20, 0.02, 0000 0001 1000 0001
-63885, 64, 0.064, 0111 1110 1111 1110
-63885, 336, 0.336, 0111 1110 0111 1110
-63885, 646, 0.646, 0111 1110 1111 1110
-63885, 1348, 1.348, 0111 1110 0111 1110
-63885, 1598, 1.598, 0111 1110 1111 1110
-63885, 2306, 2.306, 0111 1110 0111 1110
-63885, 2583, 2.583, 0111 1110 1111 1110
-63885, 3271, 3.271, 0111 1110 0111 1110
-63885, 3453, 3.453, 0111 1110 1111 1110
-63885, 4012, 4.012, 0111 1110 0111 1110
-63885, 4096, 4.096, 0000 0001 0000 0001
-63885, 4116, 4.116, 0000 0001 1000 0001
-63885, 4160, 4.16, 0111 1110 1111 1110
-66235, 0, 0.0, 0111 1110 0111 1110
-66235, 1, 0.001, 0000 0001 0000 0001
-66235, 21, 0.021, 0000 0001 1000 0001
-66235, 65, 0.065, 0111 1110 1111 1110
-66235, 271, 0.271, 0111 1110 0111 1110
-66235, 562, 0.562, 0111 1110 1111 1110
-66235, 1127, 1.127, 0111 1110 0111 1110
-66235, 1393, 1.393, 0111 1110 1111 1110
-66235, 2098, 2.098, 0111 1110 0111 1110
-66235, 2110, 2.11, 0111 1110 1111 1110
-66235, 2114, 2.114, 0111 1110 0111 1110
-66235, 2312, 2.312, 0111 1110 1111 1110
-66235, 2944, 2.944, 0111 1110 0111 1110
-66235, 3137, 3.137, 0111 1110 1111 1110
-66235, 3648, 3.648, 0111 1110 0111 1110
-66235, 3984, 3.984, 0111 1110 1111 1110
-67859, 0, 0.0, 0111 1110 0111 1110
-67859, 1, 0.001, 0000 0001 0000 0001
-67859, 21, 0.021, 0000 0001 1000 0001
-67859, 166, 0.166, 0111 1110 1111 1110
-67859, 561, 0.561, 0111 1110 0111 1110
-67859, 924, 0.924, 0111 1110 1111 1110
-67859, 1698, 1.698, 0111 1110 0111 1110
-67859, 1976, 1.976, 0111 1110 1111 1110
-67859, 2782, 2.782, 0111 1110 0111 1110
-67859, 3080, 3.08, 0111 1110 1111 1110
-67859, 3725, 3.725, 0111 1110 0111 1110
-67859, 4097, 4.097, 0000 0001 0000 0001
-67859, 4109, 4.109, 0111 1110 1111 1110
-69950, 0, 0.0, 1111 1110 0111 1110
-69950, 1, 0.001, 1000 0001 0000 0001
-69950, 21, 0.021, 1000 0001 1000 0001
-69950, 76, 0.076, 1111 1111 1111 1110
-69950, 77, 0.077, 1111 1110 1111 1110
-69950, 311, 0.311, 1111 1110 0111 1110
-69950, 706, 0.706, 1111 1110 1111 1110
-69950, 1619, 1.619, 1111 1110 0111 1110
-69950, 1897, 1.897, 1111 1110 1111 1110
-69950, 2548, 2.548, 1111 1110 0111 1110
