missed packet number, sample offset, latency (ms), sample
-399, 3210, 3.21, 0111 1110 1111 1110
-399, 3365, 3.365, 0111 1110 0111 1110
-399, 3899, 3.899, 0111 1110 1111 1110
-399, 4096, 4.096, 0000 0001 1000 0001
-399, 4116, 4.116, 0000 0001 0000 0001
-399, 4185, 4.185, 0111 1110 0111 1110
-401, 0, 0.0, 1111 1110 0111 1110
-401, 1, 0.001, 1000 0001 0000 0001
-401, 20, 0.02, 1000 0001 1000 0001
-401, 192, 0.192, 1111 1110 1111 1110
-401, 509, 0.509, 1111 1110 0111 1110
-401, 815, 0.815, 1111 1110 1111 1110
-401, 1504, 1.504, 1111 1110 0111 1110
-401, 1750, 1.75, 1111 1110 1111 1110
-401, 2451, 2.451, 1111 1110 0111 1110
-401, 2624, 2.624, 1111 1110 1111 1110
-401, 3286, 3.286, 1111 1110 0111 1110
-401, 3427, 3.427, 1111 1110 1111 1110
-401, 3927, 3.927, 1111 1110 0111 1110
-401, 4097, 4.097, 1000 0001 0000 0001
-401, 4116, 4.116, 1000 0001 1000 0001
-401, 4224, 4.224, 1111 1110 1111 1110
-402, 0, 0.0, 1111 1110 1111 1110
-402, 1, 0.001, 1000 0001 1000 0001
-402, 21, 0.021, 1000 0001 0000 0001
-402, 81, 0.081, 1111 1110 0111 1110
-402, 325, 0.325, 1111 1110 1111 1110
-402, 635, 0.635, 1111 1110 0111 1110
-402, 1276, 1.276, 1111 1110 1111 1110
-402, 1526, 1.526, 1111 1110 0111 1110
-402, 2227, 2.227, 1111 1110 1111 1110
-402, 2442, 2.442, 1111 1110 0111 1110
-402, 3275, 3.275, 1111 1110 1111 1110
-402, 3436, 3.436, 1111 1110 0111 1110
-402, 3955, 3.955, 1111 1110 1111 1110
-402, 4097, 4.097, 1000 0001 1000 0001
-402, 4117, 4.117, 1000 0001 0000 0001
-402, 4177, 4.177, 1111 1110 0111 1110
-424, 0, 0.0, 0111 1110 0111 1110
-424, 1, 0.001, 0000 0001 0000 0001
-424, 85, 0.085, 0111 1110 0111 1110
-424, 104, 0.104, 0111 1110 1111 1110
-424, 427, 0.427, 0111 1110 0111 1110
-424, 733, 0.733, 0111 1110 1111 1110
-424, 1456, 1.456, 0111 1110 0111 1110
-424, 1463, 1.463, 0111 1110 1111 1110
-424, 1466, 1.466, 0111 1110 0111 1110
-424, 1711, 1.711, 0111 1110 1111 1110
-424, 2598, 2.598, 0111 1110 0111 1110
-424, 2821, 2.821, 0111 1110 1111 1110
-424, 3511, 3.511, 0111 1110 0111 1110
-424, 3772, 3.772, 0111 1110 1111 1110
-424, 1029274, 1029.274, 0000 0000 0000 0000
-424, 1033370, 1033.37, 0111 1110 1111 1110
-424, 1042956, 1042.956, 0000 0000 0000 0000
-424, 1047052, 1047.052, 0111 1110 1111 1110
-425, 0, 0.0, 0111 1110 1111 1110
-425, 1, 0.001, 0000 0001 1000 0001
-425, 20, 0.02, 0000 0001 0000 0001
-425, 67, 0.067, 0111 1110 0111 1110
-425, 334, 0.334, 0111 1110 1111 1110
-425, 671, 0.671, 0111 1110 0111 1110
-425, 1250, 1.25, 0111 1110 1111 1110
-425, 1522, 1.522, 0111 1110 0111 1110
-425, 2163, 2.163, 0111 1110 1111 1110
-425, 2377, 2.377, 0111 1110 0111 1110
-425, 3091, 3.091, 0111 1110 1111 1110
-425, 3253, 3.253, 0111 1110 0111 1110
-425, 3747, 3.747, 0111 1110 1111 1110
-425, 4092, 4.092, 0111 1110 0111 1110
-445, 0, 0.0, 1111 1110 0111 1110
-445, 1, 0.001, 1000 0001 0000 0001
-445, 20, 0.02, 1000 0001 1000 0001
-445, 126, 0.126, 1111 1110 1111 1110
-445, 452, 0.452, 1111 1110 0111 1110
-445, 837, 0.837, 1111 1110 1111 1110
-445, 1543, 1.543, 1111 1110 0111 1110
-445, 1819, 1.819, 1111 1110 1111 1110
-445, 2529, 2.529, 1111 1110 0111 1110
-445, 2817, 2.817, 1111 1110 1111 1110
-445, 3701, 3.701, 1111 1110 0111 1110
-445, 4097, 4.097, 1000 0001 0000 0001
-445, 4116, 4.116, 1000 0001 1000 0001
-445, 4222, 4.222, 1111 1110 1111 1110
-446, 0, 0.0, 1111 1110 1111 1110
-446, 1, 0.001, 1000 0001 1000 0001
-446, 20, 0.02, 1000 0001 0000 0001
-446, 106, 0.106, 1111 1110 0111 1110
-446, 466, 0.466, 1111 1110 1111 1110
-446, 817, 0.817, 1111 1110 0111 1110
-446, 1545, 1.545, 1111 1110 1111 1110
-446, 1794, 1.794, 1111 1110 0111 1110
-446, 2465, 2.465, 1111 1110 1111 1110
-446, 2651, 2.651, 1111 1110 0111 1110
-446, 3342, 3.342, 1111 1110 1111 1110
-446, 3504, 3.504, 1111 1110 0111 1110
-446, 4057, 4.057, 1111 1110 1111 1110
-446, 4097, 4.097, 1000 0001 1000 0001
-446, 4116, 4.116, 1000 0001 0000 0001
-446, 4202, 4.202, 1111 1110 0111 1110
-448, 0, 0.0, 0111 1110 0111 1110
-448, 1, 0.001, 0000 0001 0000 0001
-448, 20, 0.02, 0000 0001 1000 0001
-448, 159, 0.159, 0111 1110 1111 1110
-448, 566, 0.566, 0111 1110 0111 1110
-448, 871, 0.871, 0111 1110 1111 1110
-448, 1503, 1.503, 0111 1110 0111 1110
-448, 1797, 1.797, 0111 1110 1111 1110
-448, 2480, 2.48, 0111 1110 0111 1110
-448, 2684, 2.684, 0111 1110 1111 1110
-448, 3348, 3.348, 0111 1110 0111 1110
-448, 3571, 3.571, 0111 1110 1111 1110
-448, 4089, 4.089, 0111 1110 0111 1110
-448, 4097, 4.097, 0000 0001 0000 0001
-448, 4116, 4.116, 0000 0001 1000 0001
-448, 4255, 4.255, 0111 1110 1111 1110
-451, 0, 0.0, 0111 1110 1111 1110
-451, 1, 0.001, 0000 0001 1000 0001
-451, 20, 0.02, 0000 0001 0000 0001
-451, 102, 0.102, 0111 1110 0111 1110
-451, 382, 0.382, 0111 1110 1111 1110
-451, 683, 0.683, 0111 1110 0111 1110
-451, 1300, 1.3, 0111 1110 1111 1110
-451, 1553, 1.553, 0111 1110 0111 1110
-451, 2218, 2.218, 0111 1110 1111 1110
-451, 2459, 2.459, 0111 1110 0111 1110
-451, 3165, 3.165, 0111 1110 1111 1110
-451, 3339, 3.339, 0111 1110 0111 1110
-451, 3874, 3.874, 0111 1110 1111 1110
-451, 4097, 4.097, 0000 0001 1000 0001
-451, 4116, 4.116, 0000 0001 0000 0001
-451, 4198, 4.198, 0111 1110 0111 1110
-453, 0, 0.0, 1111 1110 0111 1110
-453, 1, 0.001, 1000 0001 0000 0001
-453, 20, 0.02, 1000 0001 1000 0001
-453, 68, 0.068, 1111 1110 1111 1110
-453, 302, 0.302, 1111 1110 0111 1110
-453, 605, 0.605, 1111 1110 1111 1110
-453, 1216, 1.216, 1111 1110 0111 1110
-453, 1481, 1.481, 1111 1110 1111 1110
-453, 2089, 2.089, 1111 1110 0111 1110
-453, 2308, 2.308, 1111 1110 1111 1110
-453, 2954, 2.954, 1111 1110 0111 1110
-453, 3127, 3.127, 1111 1110 1111 1110
-453, 3756, 3.756, 1111 1110 0111 1110
-453, 3955, 3.955, 1111 1110 1111 1110
-456, 0, 0.0, 1111 1110 1111 1110
-456, 1, 0.001, 1000 0001 1000 0001
-456, 21, 0.021, 1000 0001 0000 0001
-456, 65, 0.065, 1111 1110 0111 1110
-456, 351, 0.351, 1111 1110 1111 1110
-456, 684, 0.684, 1111 1110 0111 1110
-456, 1330, 1.33, 1111 1110 1111 1110
-456, 1640, 1.64, 1111 1110 0111 1110
-456, 2318, 2.318, 1111 1110 1111 1110
-456, 2554, 2.554, 1111 1110 0111 1110
-456, 3293, 3.293, 1111 1110 1111 1110
-456, 3459, 3.459, 1111 1110 0111 1110
-456, 4085, 4.085, 1111 1110 1111 1110
-456, 4097, 4.097, 1000 0001 1000 0001
-456, 4117, 4.117, 1000 0001 0000 0001
-456, 4161, 4.161, 1111 1110 0111 1110
-459, 0, 0.0, 1111 1110 0111 1110
-459, 1, 0.001, 1000 0001 0000 0001
-459, 20, 0.02, 1000 0001 1000 0001
-459, 76, 0.076, 1111 1110 1111 1110
-459, 312, 0.312, 1111 1110 0111 1110
-459, 627, 0.627, 1111 1110 1111 1110
-459, 1201, 1.201, 1111 1110 0111 1110
-459, 1203, 1.203, 1111 1110 1111 1110
-459, 1204, 1.204, 1111 1110 0111 1110
-459, 1464, 1.464, 1111 1110 1111 1110
-459, 2122, 2.122, 1111 1110 0111 1110
-459, 2337, 2.337, 1111 1110 1111 1110
-459, 3011, 3.011, 1111 1110 0111 1110
-459, 3218, 3.218, 1111 1110 1111 1110
-459, 3761, 3.761, 1111 1110 0111 1110
-459, 4076, 4.076, 1111 1110 1111 1110
-464, 0, 0.0, 1111 1110 1111 1110
-464, 1, 0.001, 1000 0001 1000 0001
-464, 36, 0.036, 1000 0001 0000 0001
-464, 62, 0.062, 1111 1110 0111 1110
-464, 303, 0.303, 1111 1110 1111 1110
-464, 618, 0.618, 1111 1110 0111 1110
-464, 1249, 1.249, 1111 1110 1111 1110
-464, 1539, 1.539, 1111 1110 0111 1110
-464, 2219, 2.219, 1111 1110 1111 1110
-464, 2454, 2.454, 1111 1110 0111 1110
-464, 3336, 3.336, 1111 1110 1111 1110
-464, 3489, 3.489, 1111 1110 0111 1110
-464, 4018, 4.018, 1111 1110 1111 1110
-464, 4097, 4.097, 1000 0001 1000 0001
-464, 4132, 4.132, 1000 0001 0000 0001
-464, 4158, 4.158, 1111 1110 0111 1110
-466, 0, 0.0, 0111 1110 0111 1110
-466, 1, 0.001, 0000 0001 0000 0001
-466, 20, 0.02, 0000 0001 1000 0001
-466, 76, 0.076, 0111 1110 1111 1110
-466, 468, 0.468, 0111 1110 0111 1110
-466, 783, 0.783, 0111 1110 1111 1110
-466, 1454, 1.454, 0111 1110 0111 1110
-466, 1716, 1.716, 0111 1110 1111 1110
-466, 2370, 2.37, 0111 1110 0111 1110
-466, 2574, 2.574, 0111 1110 1111 1110
-466, 3368, 3.368, 0111 1110 0111 1110
-466, 3507, 3.507, 0111 1110 1111 1110
-466, 4045, 4.045, 0111 1110 0111 1110
-466, 4097, 4.097, 0000 0001 0000 0001
-466, 4116, 4.116, 0000 0001 1000 0001
-466, 4172, 4.172, 0111 1110 1111 1110
-469, 0, 0.0, 0111 1110 1111 1110
-469, 1, 0.001, 0000 0001 1000 0001
-469, 20, 0.02, 0000 0001 0000 0001
-469, 131, 0.131, 0111 1110 0111 1110
-469, 420, 0.42, 0111 1110 1111 1110
-469, 723, 0.723, 0111 1110 0111 1110
-469, 1286, 1.286, 0111 1110 1111 1110
-469, 1533, 1.533, 0111 1110 0111 1110
-469, 2127, 2.127, 0111 1110 1111 1110
-469, 2332, 2.332, 0111 1110 0111 1110
-469, 2963, 2.963, 0111 1110 1111 1110
-469, 3136, 3.136, 0111 1110 0111 1110
-469, 3619, 3.619, 0111 1110 1111 1110
-469, 3950, 3.95, 0111 1110 0111 1110
-485, 0, 0.0, 1111 1110 0111 1110
-485, 1, 0.001, 1000 0001 0000 0001
-485, 20, 0.02, 1000 0001 1000 0001
-485, 89, 0.089, 1111 1110 1111 1110
-485, 360, 0.36, 1111 1110 0111 1110
-485, 679, 0.679, 1111 1110 1111 1110
-485, 1354, 1.354, 1111 1110 0111 1110
-485, 1631, 1.631, 1111 1110 1111 1110
-485, 2286, 2.286, 1111 1110 0111 1110
-485, 2499, 2.499, 1111 1110 1111 1110
-485, 3154, 3.154, 1111 1110 0111 1110
-485, 3312, 3.312, 1111 1110 1111 1110
-485, 3901, 3.901, 1111 1110 0111 1110
-485, 4097, 4.097, 1000 0001 0000 0001
-485, 4116, 4.116, 1000 0001 1000 0001
-485, 4185, 4.185, 1111 1110 1111 1110
-488, 0, 0.0, 1111 1110 1111 1110
-488, 1, 0.001, 1000 0001 1000 0001
-488, 20, 0.02, 1000 0001 0000 0001
-488, 83, 0.083, 1111 1110 0111 1110
-488, 345, 0.345, 1111 1110 1111 1110
-488, 718, 0.718, 1111 1110 0111 1110
-488, 1552, 1.552, 1111 1110 1111 1110
-488, 1894, 1.894, 1111 1110 0111 1110
-488, 2683, 2.683, 1111 1110 1111 1110
-488, 3025, 3.025, 1111 1110 0111 1110
-488, 3846, 3.846, 1111 1110 1111 1110
-488, 4097, 4.097, 1000 0001 1000 0001
-488, 4116, 4.116, 1000 0001 0000 0001
-488, 4179, 4.179, 1111 1110 0111 1110
-504, 0, 0.0, 0111 1110 0111 1110
-504, 1, 0.001, 0000 0001 0000 0001
-504, 20, 0.02, 0000 0001 1000 0001
-504, 131, 0.131, 0111 1110 1111 1110
-504, 394, 0.394, 0111 1110 0111 1110
-504, 700, 0.7, 0111 1110 1111 1110
-504, 1346, 1.346, 0111 1110 0111 1110
-504, 1651, 1.651, 0111 1110 1111 1110
-504, 2576, 2.576, 0111 1110 0111 1110
-504, 2891, 2.891, 0111 1110 1111 1110
-504, 3745, 3.745, 0111 1110 0111 1110
-504, 4097, 4.097, 0000 0001 0000 0001
-504, 4116, 4.116, 0000 0001 1000 0001
-504, 4119, 4.119, 0111 1110 1111 1110
-506, 0, 0.0, 1111 1110 1111 1110
-506, 1, 0.001, 1000 0001 1000 0001
-506, 21, 0.021, 1000 0001 0000 0001
-506, 94, 0.094, 1111 1110 0111 1110
-506, 408, 0.408, 1111 1110 1111 1110
-506, 801, 0.801, 1111 1110 0111 1110
-506, 2005, 2.005, 1111 1110 1111 1110
-506, 2230, 2.23, 1111 1110 0111 1110
-506, 2912, 2.912, 1111 1110 1111 1110
-506, 3111, 3.111, 1111 1110 0111 1110
-506, 3648, 3.648, 1111 1110 1111 1110
-506, 4057, 4.057, 1111 1110 0111 1110
-507, 0, 0.0, 1111 1110 0111 1110
-507, 1, 0.001, 1000 0001 0000 0001
-507, 20, 0.02, 1000 0001 1000 0001
-507, 60, 0.06, 1111 1110 1111 1110
-507, 345, 0.345, 1111 1110 0111 1110
-507, 706, 0.706, 1111 1110 1111 1110
-507, 1571, 1.571, 1111 1110 0111 1110
-507, 1853, 1.853, 1111 1110 1111 1110
-507, 2655, 2.655, 1111 1110 0111 1110
-507, 2858, 2.858, 1111 1110 1111 1110
-507, 3594, 3.594, 1111 1110 0111 1110
-507, 3774, 3.774, 1111 1110 1111 1110
-507, 1136902, 1136.902, 1111 1110 0111 1110
-507, 1137008, 1137.008, 1111 1110 1111 1110
-507, 1137263, 1137.263, 1111 1110 0111 1110
-507, 1138006, 1138.006, 1111 1110 1111 1110
-507, 1138196, 1138.196, 1111 1110 0111 1110
-507, 1138776, 1138.776, 1111 1110 1111 1110
-507, 1139090, 1139.09, 1111 1110 0111 1110
-507, 1139695, 1139.695, 1111 1110 1111 1110
-507, 1139975, 1139.975, 1111 1110 0111 1110
-507, 1140573, 1140.573, 1111 1110 1111 1110
-507, 1140804, 1140.804, 1111 1110 0111 1110
-520, 0, 0.0, 1111 1110 0111 1110
-520, 1, 0.001, 1000 0001 0000 0001
-520, 20, 0.02, 1000 0001 1000 0001
-520, 62, 0.062, 1111 1110 1111 1110
-520, 303, 0.303, 1111 1110 0111 1110
-520, 617, 0.617, 1111 1110 1111 1110
-520, 1258, 1.258, 1111 1110 0111 1110
-520, 1561, 1.561, 1111 1110 1111 1110
-520, 2226, 2.226, 1111 1110 0111 1110
-520, 2435, 2.435, 1111 1110 1111 1110
-520, 3131, 3.131, 1111 1110 0111 1110
-520, 3297, 3.297, 1111 1110 1111 1110
-520, 3831, 3.831, 1111 1110 0111 1110
-520, 4097, 4.097, 1000 0001 0000 0001
-520, 4116, 4.116, 1000 0001 1000 0001
-520, 4156, 4.156, 1111 1110 1111 1110
-544, 0, 0.0, 0111 1110 1111 1110
-544, 1, 0.001, 0000 0001 1000 0001
-544, 21, 0.021, 0000 0001 0000 0001
-544, 151, 0.151, 0111 1110 0111 1110
-544, 704, 0.704, 0111 1110 1111 1110
-544, 1163, 1.163, 0111 1110 0111 1110
-544, 2219, 2.219, 0111 1110 1111 1110
-544, 2527, 2.527, 0111 1110 0111 1110
-544, 3304, 3.304, 0111 1110 1111 1110
-544, 3732, 3.732, 0111 1110 0111 1110
-548, 0, 0.0, 1000 0001 0000 0001
-548, 20, 0.02, 1000 0001 1000 0001
-548, 126, 0.126, 1111 1110 1111 1110
-548, 449, 0.449, 1111 1110 0111 1110
-548, 1030, 1.03, 1111 1110 1111 1110
-548, 2372, 2.372, 1111 1110 0111 1110
-548, 2733, 2.733, 1111 1110 1111 1110
-548, 3467, 3.467, 1111 1110 0111 1110
-548, 3633, 3.633, 1111 1110 1111 1110
-550, 0, 0.0, 0111 1110 1111 1110
-550, 1, 0.001, 0000 0001 1000 0001
-550, 20, 0.02, 0000 0001 0000 0001
-550, 68, 0.068, 0111 1110 0111 1110
-550, 288, 0.288, 0111 1110 1111 1110
-550, 597, 0.597, 0111 1110 0111 1110
-550, 1178, 1.178, 0111 1110 1111 1110
-550, 1459, 1.459, 0111 1110 0111 1110
-550, 2209, 2.209, 0111 1110 1111 1110
-550, 2478, 2.478, 0111 1110 0111 1110
-550, 3311, 3.311, 0111 1110 1111 1110
-550, 3465, 3.465, 0111 1110 0111 1110
-550, 3986, 3.986, 0111 1110 1111 1110
-550, 4097, 4.097, 0000 0001 1000 0001
-550, 4116, 4.116, 0000 0001 0000 0001
-550, 4164, 4.164, 0111 1110 0111 1110
-552, 0, 0.0, 1111 1110 0111 1110
-552, 1, 0.001, 1000 0001 0000 0001
-552, 20, 0.02, 1000 0001 1000 0001
-552, 63, 0.063, 1111 1110 1111 1110
-552, 288, 0.288, 1111 1110 0111 1110
-552, 597, 0.597, 1111 1110 1111 1110
-552, 1149, 1.149, 1111 1110 0111 1110
-552, 1411, 1.411, 1111 1110 1111 1110
-552, 2019, 2.019, 1111 1110 0111 1110
-552, 2246, 2.246, 1111 1110 1111 1110
-552, 2886, 2.886, 1111 1110 0111 1110
-552, 3060, 3.06, 1111 1110 1111 1110
-552, 3719, 3.719, 1111 1110 0111 1110
-552, 3869, 3.869, 1111 1110 1111 1110
-554, 0, 0.0, 0111 1110 1111 1110
-554, 1, 0.001, 0000 0001 1000 0001
-554, 20, 0.02, 0000 0001 0000 0001
-554, 69, 0.069, 0111 1110 0111 1110
-554, 405, 0.405, 0111 1110 1111 1110
-554, 1004, 1.004, 0111 1110 0111 1110
-554, 1977, 1.977, 0111 1110 1111 1110
-554, 2397, 2.397, 0111 1110 0111 1110
-554, 3408, 3.408, 0111 1110 1111 1110
