missed packet number, sample offset, latency (ms), sample
-87065, 529, 0.529, 0111 1110 1111 1110
-87065, 914, 0.914, 0111 1110 0111 1110
-87065, 1724, 1.724, 0111 1110 1111 1110
-87065, 2020, 2.02, 0111 1110 0111 1110
-87065, 2843, 2.843, 0111 1110 1111 1110
-87065, 3067, 3.067, 0111 1110 0111 1110
-87065, 3749, 3.749, 0111 1110 1111 1110
-87065, 4097, 4.097, 0000 0001 1000 0001
-87065, 4116, 4.116, 0000 0001 0000 0001
-87065, 4120, 4.12, 0111 1110 0111 1110
-87065, 1137551, 1137.551, 0000 0000 0000 0000
-87065, 1141647, 1141.647, 0111 1110 0111 1110
-87066, 0, 0.0, 0111 1110 0111 1110
-87066, 1, 0.001, 0000 0001 0000 0001
-87066, 20, 0.02, 0000 0001 1000 0001
-87066, 106, 0.106, 0111 1110 1111 1110
-87066, 397, 0.397, 0111 1110 0111 1110
-87066, 704, 0.704, 0111 1110 1111 1110
-87066, 1448, 1.448, 0111 1110 0111 1110
-87066, 1748, 1.748, 0111 1110 1111 1110
-87066, 2515, 2.515, 0111 1110 0111 1110
-87066, 2724, 2.724, 0111 1110 1111 1110
-87066, 3553, 3.553, 0111 1110 0111 1110
-87066, 3713, 3.713, 0111 1110 1111 1110
-87066, 419179, 419.179, 0000 0000 0000 0000
-87066, 423275, 423.275, 0111 1110 1111 1110
-87067, 0, 0.0, 0111 1110 1111 1110
-87067, 1, 0.001, 0000 0001 1000 0001
-87067, 20, 0.02, 0000 0001 0000 0001
-87067, 114, 0.114, 0111 1110 0111 1110
-87067, 512, 0.512, 0111 1110 1111 1110
-87067, 855, 0.855, 0111 1110 0111 1110
-87067, 1644, 1.644, 0111 1110 1111 1110
-87067, 1947, 1.947, 0111 1110 0111 1110
-87067, 2807, 2.807, 0111 1110 1111 1110
-87067, 3050, 3.05, 0111 1110 0111 1110
-87067, 3769, 3.769, 0111 1110 1111 1110
-87067, 4097, 4.097, 0000 0001 1000 0001
-87067, 4116, 4.116, 0000 0001 0000 0001
-87067, 4176, 4.176, 0111 1110 0111 1110
-87068, 0, 0.0, 0111 1110 0111 1110
-87068, 1, 0.001, 0000 0001 0000 0001
-87068, 20, 0.02, 0000 0001 1000 0001
-87068, 144, 0.144, 0111 1110 1111 1110
-87068, 460, 0.46, 0111 1110 0111 1110
-87068, 819, 0.819, 0111 1110 1111 1110
-87068, 1577, 1.577, 0111 1110 0111 1110
-87068, 1896, 1.896, 0111 1110 1111 1110
-87068, 2823, 2.823, 0111 1110 0111 1110
-87068, 3048, 3.048, 0111 1110 1111 1110
-87068, 3721, 3.721, 0111 1110 0111 1110
-87068, 4097, 4.097, 0000 0001 0000 0001
-87068, 4101, 4.101, 0111 1110 1111 1110
-87068, 162653, 162.653, 0000 0000 0000 0000
-87068, 170845, 170.845, 0111 1110 1111 1110
-87068, 174672, 174.672, 0000 0000 0000 0000
-87068, 182864, 182.864, 0111 1110 1111 1110
-87068, 1393062, 1393.062, 0000 0000 0000 0000
-87068, 1397158, 1397.158, 0111 1110 1111 1110
-87069, 0, 0.0, 0111 1110 1111 1110
