Packet, Sample offset, Latency (ms), [packet_received_bit][packet_created_bit][button_press_mirror_bit]
189, 18333, 18.333, 1111 1110 1111 1110 
189, 46460, 46.46, 0000 0000 0000 0000 
189, 50556, 50.556, 1111 1110 1111 1110 
189, 50595, 50.595, 0000 0000 0000 0000 
189, 62883, 62.883, 1111 1110 1111 1110 
189, 66649, 66.649, 0000 0000 0000 0000 
190, 0, 0.0, 0111 1110 1111 1110 
190, 1, 0.001, 0000 0001 1000 0001 
190, 20, 0.02, 0000 0001 0000 0001 
190, 348, 0.348, 0111 1110 0111 1110 
190, 1034, 1.034, 0111 1110 1111 1110 
190, 1382, 1.382, 0111 1110 0111 1110 
190, 2296, 2.296, 0111 1110 1111 1110 
190, 2634, 2.634, 0111 1110 0111 1110 
190, 3554, 3.554, 0111 1110 1111 1110 
190, 3965, 3.965, 0111 1110 0111 1110 
190, 35316, 35.316, 0000 0000 0000 0000 
190, 55796, 55.796, 0111 1110 0111 1110 
190, 56231, 56.231, 1111 1110 0111 1110 
190, 57044, 57.044, 0111 1110 0111 1110 
190, 57410, 57.41, 0000 0000 0000 0000 
191, 0, 0.0, 1111 1110 0111 1110 
191, 1, 0.001, 1000 0001 0000 0001 
191, 19, 0.019, 1000 0001 1000 0001 
191, 231, 0.231, 1111 1110 1111 1110 
191, 950, 0.95, 1111 1110 0111 1110 
191, 4096, 4.096, 0000 0000 0000 0000 
191, 4895, 4.895, 1111 1110 1111 1110 
191, 6261, 6.261, 0000 0000 0000 0000 
191, 18549, 18.549, 1111 1110 1111 1110 
191, 48194, 48.194, 0000 0000 0000 0000 
191, 76866, 76.866, 0111 1110 1111 1110 
191, 77779, 77.779, 0000 0000 0000 0000 
192, 0, 0.0, 0111 1110 1111 1110 
192, 1, 0.001, 0000 0001 1000 0001 
192, 20, 0.02, 0000 0001 0000 0001 
192, 181, 0.181, 0111 1110 0111 1110 
192, 725, 0.725, 0111 1110 1111 1110 
192, 1134, 1.134, 0111 1110 0111 1110 
192, 2126, 2.126, 0111 1110 1111 1110 
192, 2539, 2.539, 0111 1110 0111 1110 
192, 3517, 3.517, 0111 1110 1111 1110 
192, 3774, 3.774, 0111 1110 0111 1110 
192, 34684, 34.684, 0000 0000 0000 0000 
192, 42876, 42.876, 0111 1110 0111 1110 
192, 46678, 46.678, 0000 0000 0000 0000 
193, 0, 0.0, 1111 1110 1111 1110 
193, 4096, 4.096, 0000 0000 0000 0000 
193, 11011, 11.011, 1111 1110 1111 1110 
193, 12275, 12.275, 0000 0000 0000 0000 
193, 16371, 16.371, 1111 1110 1111 1110 
193, 49042, 49.042, 0000 0000 0000 0000 
193, 61330, 61.33, 1111 1110 1111 1110 
193, 62743, 62.743, 0000 0000 0000 0000 
193, 70935, 70.935, 1111 1110 1111 1110 
193, 74445, 74.445, 0000 0000 0000 0000 
193, 82637, 82.637, 1111 1110 1111 1110 
193, 85317, 85.317, 0000 0000 0000 0000 
193, 93509, 93.509, 1111 1110 1111 1110 
193, 96998, 96.998, 0000 0000 0000 0000 
193, 105190, 105.19, 1111 1110 1111 1110 
193, 109215, 109.215, 0000 0000 0000 0000 
194, 0, 0.0, 0111 1110 1111 1110 
194, 1, 0.001, 0000 0001 1000 0001 
194, 20, 0.02, 0000 0001 0000 0001 
194, 354, 0.354, 0111 1110 0111 1110 
194, 3399, 3.399, 0111 1110 1111 1110 
194, 4096, 4.096, 0000 0000 0000 0000 
195, 0, 0.0, 1111 1110 0111 1110 
195, 1, 0.001, 1000 0001 0000 0001 
195, 20, 0.02, 1000 0001 1000 0001 
195, 154, 0.154, 1111 1110 1111 1110 
195, 585, 0.585, 1111 1110 0111 1110 
195, 941, 0.941, 1111 1110 1111 1110 
195, 1888, 1.888, 1111 1110 0111 1110 
195, 2188, 2.188, 1111 1110 1111 1110 
195, 3181, 3.181, 1111 1110 0111 1110 
195, 3437, 3.437, 1111 1110 1111 1110 
195, 29874, 29.874, 0000 0000 0000 0000 
195, 33970, 33.97, 1111 1110 1111 1110 
195, 34814, 34.814, 0000 0000 0000 0000 
195, 43006, 43.006, 1111 1110 1111 1110 
195, 44868, 44.868, 0000 0000 0000 0000 
195, 57156, 57.156, 1111 1110 1111 1110 
195, 57168, 57.168, 0000 0000 0000 0000 
196, 0, 0.0, 0000 0001 1000 0001 
196, 19, 0.019, 0000 0001 0000 0001 
196, 194, 0.194, 0111 1110 0111 1110 
196, 3074, 3.074, 0111 1110 1111 1110 
196, 3559, 3.559, 0000 0000 0000 0000 
196, 7655, 7.655, 0111 1110 0111 1110 
196, 9925, 9.925, 0000 0000 0000 0000 
196, 14021, 14.021, 0111 1110 0111 1110 
196, 14391, 14.391, 0000 0000 0000 0000 
196, 30775, 30.775, 0111 1110 0111 1110 
196, 34811, 34.811, 0000 0000 0000 0000 
196, 38907, 38.907, 0111 1110 0111 1110 
196, 42739, 42.739, 0000 0000 0000 0000 
197, 0, 0.0, 1111 1110 1111 1110 
197, 4096, 4.096, 0000 0000 0000 0000 
197, 8304, 8.304, 1111 1110 1111 1110 
197, 9510, 9.51, 0000 0000 0000 0000 
197, 17702, 17.702, 1111 1110 1111 1110 
197, 38368, 38.368, 0000 0000 0000 0000 
197, 46560, 46.56, 1111 1110 1111 1110 
197, 46849, 46.849, 0000 0000 0000 0000 
197, 71425, 71.425, 0111 1110 1111 1110 
197, 71945, 71.945, 0000 0000 0000 0000 
198, 0, 0.0, 0111 1110 1111 1110 
198, 1, 0.001, 0000 0001 1000 0001 
198, 20, 0.02, 0000 0001 0000 0001 
198, 176, 0.176, 0111 1110 0111 1110 
198, 602, 0.602, 0111 1110 1111 1110 
198, 952, 0.952, 0111 1110 0111 1110 
198, 1918, 1.918, 0111 1110 1111 1110 
198, 2167, 2.167, 0111 1110 0111 1110 
198, 3196, 3.196, 0111 1110 1111 1110 
