missed packet number, sample offset, latency (ms), sample
-304, 339, 0.339, 0111 1110 1111 1110
-304, 684, 0.684, 0111 1110 0111 1110
-304, 1330, 1.33, 0111 1110 1111 1110
-304, 1609, 1.609, 0111 1110 0111 1110
-304, 2318, 2.318, 0111 1110 1111 1110
-304, 2542, 2.542, 0111 1110 0111 1110
-304, 3248, 3.248, 0111 1110 1111 1110
-304, 3439, 3.439, 0111 1110 0111 1110
-304, 3969, 3.969, 0111 1110 1111 1110
-304, 4097, 4.097, 0000 0001 1000 0001
-304, 4117, 4.117, 0000 0001 0000 0001
-304, 4182, 4.182, 0111 1110 0111 1110
-373, 0, 0.0, 0111 1110 0111 1110
-373, 1, 0.001, 0000 0001 0000 0001
-373, 20, 0.02, 0000 0001 1000 0001
-373, 217, 0.217, 0111 1110 1111 1110
-373, 721, 0.721, 0111 1110 0111 1110
-373, 1032, 1.032, 0111 1110 1111 1110
-373, 1792, 1.792, 0111 1110 0111 1110
-373, 2053, 2.053, 0111 1110 1111 1110
-373, 2756, 2.756, 0111 1110 0111 1110
-373, 2934, 2.934, 0111 1110 1111 1110
-373, 3447, 3.447, 0111 1110 0111 1110
-373, 3784, 3.784, 0111 1110 1111 1110
-373, 4312, 4.312, 0000 0001 1000 0001
-373, 4313, 4.313, 0111 1110 1111 1110
-437, 0, 0.0, 1111 1110 1111 1110
-437, 1, 0.001, 1000 0001 1000 0001
-437, 21, 0.021, 1000 0001 0000 0001
-437, 62, 0.062, 1111 1110 0111 1110
-437, 264, 0.264, 1111 1110 1111 1110
-437, 569, 0.569, 1111 1110 0111 1110
-437, 1288, 1.288, 1111 1110 1111 1110
-437, 1547, 1.547, 1111 1110 0111 1110
-437, 2180, 2.18, 1111 1110 1111 1110
-437, 2395, 2.395, 1111 1110 0111 1110
-437, 3050, 3.05, 1111 1110 1111 1110
-437, 3274, 3.274, 1111 1110 0111 1110
-437, 3785, 3.785, 1111 1110 1111 1110
-437, 4097, 4.097, 1000 0001 1000 0001
-437, 4107, 4.107, 1111 1110 0111 1110
-465, 0, 0.0, 0000 0001 0000 0001
-465, 20, 0.02, 0000 0001 1000 0001
-465, 89, 0.089, 0111 1110 1111 1110
-465, 348, 0.348, 0111 1110 0111 1110
-465, 636, 0.636, 0111 1110 1111 1110
-465, 1187, 1.187, 0111 1110 0111 1110
-465, 1440, 1.44, 0111 1110 1111 1110
-465, 2048, 2.048, 0111 1110 0111 1110
-465, 2262, 2.262, 0111 1110 1111 1110
-465, 2904, 2.904, 0111 1110 0111 1110
-465, 3076, 3.076, 0111 1110 1111 1110
-465, 3664, 3.664, 0111 1110 0111 1110
-465, 3952, 3.952, 0111 1110 1111 1110
-483, 0, 0.0, 1000 0001 1000 0001
-483, 20, 0.02, 1000 0001 0000 0001
-483, 127, 0.127, 1111 1110 0111 1110
-483, 394, 0.394, 1111 1110 1111 1110
-483, 702, 0.702, 1111 1110 0111 1110
-483, 1336, 1.336, 1111 1110 1111 1110
-483, 1593, 1.593, 1111 1110 0111 1110
-483, 2355, 2.355, 1111 1110 1111 1110
-483, 2600, 2.6, 1111 1110 0111 1110
-483, 3330, 3.33, 1111 1110 1111 1110
-483, 3506, 3.506, 1111 1110 0111 1110
-483, 4009, 4.009, 1111 1110 1111 1110
-483, 4096, 4.096, 1000 0001 1000 0001
-483, 4116, 4.116, 1000 0001 0000 0001
-483, 4223, 4.223, 1111 1110 0111 1110
-490, 0, 0.0, 1111 1110 0111 1110
-490, 1, 0.001, 1000 0001 0000 0001
-490, 21, 0.021, 1000 0001 1000 0001
-490, 190, 0.19, 1111 1110 1111 1110
-490, 602, 0.602, 1111 1110 0111 1110
-490, 936, 0.936, 1111 1110 1111 1110
-490, 1678, 1.678, 1111 1110 0111 1110
-490, 1926, 1.926, 1111 1110 1111 1110
-490, 2605, 2.605, 1111 1110 0111 1110
-490, 2795, 2.795, 1111 1110 1111 1110
-490, 3433, 3.433, 1111 1110 0111 1110
-490, 3600, 3.6, 1111 1110 1111 1110
-490, 4123, 4.123, 1000 0001 1000 0001
-490, 4286, 4.286, 1111 1110 1111 1110
-614, 0, 0.0, 0111 1110 0111 1110
-614, 1, 0.001, 0000 0001 0000 0001
-614, 21, 0.021, 0000 0001 1000 0001
-614, 87, 0.087, 0111 1110 1111 1110
-614, 421, 0.421, 0111 1110 0111 1110
-614, 865, 0.865, 0111 1110 1111 1110
-614, 1880, 1.88, 0111 1110 0111 1110
