Time, Mote 1 Rx Signal, Mote 2 Rx Signal
6.031680, 0,0
6.034120, 0,0
6.036560, 0,0
6.039000, 0,0
6.041440, 0,0
6.043880, 0,0
6.046320, 0,0
6.048760, 0,0
6.051200, 0,0
6.053640, 0,0
6.056080, 0,0
6.058520, 0,0
6.060960, 0,0
6.063400, 0,0
6.065840, 0,0
6.068280, 0,0
6.070720, 0,0
6.073160, 0,0
6.075600, 0,0
6.078040, 0,0
6.080480, 0,0
6.082920, 0,0
6.085360, 0,0
6.087800, 0,0
6.090240, 0,0
6.092680, 0,0
6.095120, 0,0
6.097560, 0,0
6.100000, 0,0
6.102440, 0,0
6.104880, 0,0
6.107320, 0,0
6.109760, 0,0
6.112200, 0,0
6.114640, 0,0
6.117080, 0,0
6.119520, 0,0
6.121960, 0,0
6.124400, 0,0
6.126840, 0,0
6.129280, 0,0
6.131720, 0,0
6.134160, 0,0
6.136600, 0,0
6.139040, 0,0
6.141480, 0,0
6.143920, 0,0
6.146360, 0,0
6.148800, 0,0
6.151240, 0,0
6.153680, 0,0
6.156120, 0,0
6.158560, 0,0
6.161000, 0,0
6.163440, 0,0
6.165880, 0,0
6.168320, 0,0
6.170760, 0,0
6.173200, 0,0
6.175640, 0,0
6.178080, 0,0
6.180520, 0,0
6.182960, 0,0
6.185400, 0,0
6.187840, 0,0
6.190280, 0,0
6.192720, 0,0
6.195160, 0,0
6.197600, 0,0
6.200040, 0,0
6.202480, 0,0
6.204920, 0,0
6.207360, 0,0
6.209800, 0,0
6.212240, 0,0
6.214680, 0,0
6.217120, 0,0
6.219560, 0,0
6.222000, 0,0
6.224440, 0,0
6.226880, 0,0
6.229320, 0,0
6.231760, 0,0
6.234200, 0,0
6.236640, 0,0
6.239080, 0,0
6.241520, 0,0
6.243960, 0,0
6.246400, 0,0
6.248840, 0,0
6.251280, 0,0
6.253720, 0,0
6.256160, 0,0
6.258600, 0,0
6.261040, 0,0
6.263480, 0,0
6.265920, 0,0
6.268360, 0,0
6.270800, 0,0
6.273240, 0,0
6.275680, 0,0
6.278120, 0,0
6.280560, 0,0
6.283000, 0,0
6.285440, 0,0
6.287880, 0,0
6.290320, 0,0
6.292760, 0,0
6.295200, 0,0
6.297640, 0,0
6.300080, 0,0
6.302520, 0,0
6.304960, 0,0
6.307400, 0,0
6.309840, 0,0
6.312280, 0,0
6.314720, 0,0
6.317160, 0,0
6.319600, 0,0
6.322040, 0,0
6.324480, 0,0
6.326920, 0,0
6.329360, 0,0
6.331800, 0,0
6.334240, 0,0
6.336680, 0,0
6.339120, 0,0
6.341560, 0,0
6.344000, 0,0
6.346440, 0,0
6.348880, 0,0
6.351320, 0,0
6.353760, 0,0
6.356200, 0,0
6.358640, 0,0
6.361080, 0,0
6.363520, 0,0
6.365960, 0,0
6.368400, 0,0
